CodigoNacional;momento;RRR24_Valor;Traza_Valor
180005;02-07-1998 12:00:00;0.0;0.0
180005;03-07-1998 12:00:00;0.0;0.0
180005;04-07-1998 12:00:00;0.0;0.0
180005;05-07-1998 12:00:00;0.0;0.0
180005;06-07-1998 12:00:00;0.0;0.0
180005;07-07-1998 12:00:00;0.0;0.0
180005;08-07-1998 12:00:00;0.0;0.0
180005;09-07-1998 12:00:00;0.0;0.0
180005;10-07-1998 12:00:00;0.0;0.0
180005;11-07-1998 12:00:00;0.0;0.0
180005;12-07-1998 12:00:00;0.0;0.0
180005;13-07-1998 12:00:00;0.0;0.0
180005;14-07-1998 12:00:00;0.0;0.0
180005;15-07-1998 12:00:00;0.0;0.0
180005;16-07-1998 12:00:00;0.0;0.0
180005;17-07-1998 12:00:00;0.0;0.0
180005;18-07-1998 12:00:00;0.0;0.0
180005;19-07-1998 12:00:00;0.0;0.0
180005;20-07-1998 12:00:00;0.0;0.0
180005;21-07-1998 12:00:00;0.0;0.0
180005;22-07-1998 12:00:00;0.0;0.0
180005;23-07-1998 12:00:00;0.0;0.0
180005;24-07-1998 12:00:00;0.0;0.0
180005;25-07-1998 12:00:00;0.0;0.0
180005;26-07-1998 12:00:00;0.0;0.0
180005;27-07-1998 12:00:00;0.0;0.0
180005;28-07-1998 12:00:00;0.0;0.0
180005;29-07-1998 12:00:00;0.0;0.0
180005;30-07-1998 12:00:00;0.0;0.0
180005;31-07-1998 12:00:00;0.0;0.0
180005;01-08-1998 12:00:00;0.0;0.0
180005;02-08-1998 12:00:00;0.0;0.0
180005;03-08-1998 12:00:00;0.0;0.0
180005;04-08-1998 12:00:00;0.0;0.0
180005;05-08-1998 12:00:00;0.0;0.0
180005;06-08-1998 12:00:00;0.0;0.0
180005;07-08-1998 12:00:00;0.0;0.0
180005;08-08-1998 12:00:00;0.0;0.0
180005;09-08-1998 12:00:00;0.0;0.0
180005;10-08-1998 12:00:00;0.0;0.0
180005;11-08-1998 12:00:00;0.0;0.0
180005;12-08-1998 12:00:00;0.0;0.0
180005;14-08-1998 12:00:00;0.0;0.0
180005;15-08-1998 12:00:00;0.0;0.0
180005;16-08-1998 12:00:00;0.0;0.0
180005;17-08-1998 12:00:00;0.0;0.0
180005;18-08-1998 12:00:00;0.0;0.0
180005;19-08-1998 12:00:00;0.0;0.0
180005;20-08-1998 12:00:00;0.0;0.0
180005;21-08-1998 12:00:00;0.0;0.0
180005;22-08-1998 12:00:00;0.0;0.0
180005;23-08-1998 12:00:00;0.0;0.0
180005;24-08-1998 12:00:00;0.0;0.0
180005;25-08-1998 12:00:00;0.0;0.0
180005;26-08-1998 12:00:00;0.0;0.0
180005;27-08-1998 12:00:00;0.0;0.0
180005;31-08-1998 12:00:00;0.0;0.0
180005;01-09-1998 12:00:00;0.0;0.0
180005;02-09-1998 12:00:00;0.0;0.0
180005;03-09-1998 12:00:00;0.0;0.0
180005;04-09-1998 12:00:00;0.0;0.0
180005;05-09-1998 12:00:00;0.0;0.0
180005;06-09-1998 12:00:00;0.0;0.0
180005;07-09-1998 12:00:00;0.0;0.0
180005;08-09-1998 12:00:00;0.0;0.0
180005;09-09-1998 12:00:00;0.0;0.0
180005;10-09-1998 12:00:00;0.0;0.0
180005;11-09-1998 12:00:00;0.0;0.0
180005;12-09-1998 12:00:00;0.0;0.0
180005;13-09-1998 12:00:00;0.0;0.0
180005;14-09-1998 12:00:00;0.0;0.0
180005;15-09-1998 12:00:00;0.0;0.0
180005;16-09-1998 12:00:00;0.0;0.0
180005;17-09-1998 12:00:00;0.0;0.0
180005;18-09-1998 12:00:00;0.0;0.0
180005;19-09-1998 12:00:00;0.0;0.0
180005;20-09-1998 12:00:00;0.0;0.0
180005;21-09-1998 12:00:00;0.0;0.0
180005;22-09-1998 12:00:00;0.0;0.0
180005;23-09-1998 12:00:00;0.0;0.0
180005;24-09-1998 12:00:00;0.0;0.0
180005;25-09-1998 12:00:00;0.0;0.0
180005;26-09-1998 12:00:00;0.0;0.0
180005;27-09-1998 12:00:00;0.0;0.0
180005;28-09-1998 12:00:00;0.0;0.0
180005;29-09-1998 12:00:00;0.0;0.0
180005;30-09-1998 12:00:00;0.0;0.0
180005;01-10-1998 12:00:00;0.0;0.0
180005;02-10-1998 12:00:00;0.0;0.0
180005;03-10-1998 12:00:00;0.0;0.0
180005;05-10-1998 12:00:00;0.0;0.0
180005;06-10-1998 12:00:00;0.0;0.0
180005;07-10-1998 12:00:00;0.0;0.0
180005;08-10-1998 12:00:00;0.0;0.0
180005;09-10-1998 12:00:00;0.0;0.0
180005;10-10-1998 12:00:00;0.0;0.0
180005;11-10-1998 12:00:00;0.0;0.0
180005;12-10-1998 12:00:00;0.0;0.0
180005;13-10-1998 12:00:00;0.0;0.0
180005;14-10-1998 12:00:00;0.0;0.0
180005;15-10-1998 12:00:00;0.0;0.0
180005;16-10-1998 12:00:00;0.0;0.0
180005;17-10-1998 12:00:00;0.0;0.0
180005;18-10-1998 12:00:00;0.0;0.0
180005;19-10-1998 12:00:00;0.0;0.0
180005;20-10-1998 12:00:00;0.0;0.0
180005;21-10-1998 12:00:00;0.0;0.0
180005;22-10-1998 12:00:00;0.0;0.0
180005;23-10-1998 12:00:00;0.0;0.0
180005;24-10-1998 12:00:00;0.0;0.0
180005;25-10-1998 12:00:00;0.0;0.0
180005;26-10-1998 12:00:00;0.0;0.0
180005;27-10-1998 12:00:00;0.0;0.0
180005;28-10-1998 12:00:00;0.0;0.0
180005;29-10-1998 12:00:00;0.0;0.0
180005;30-10-1998 12:00:00;0.0;0.0
180005;31-10-1998 12:00:00;0.0;0.0
180005;01-11-1998 12:00:00;0.0;0.0
180005;02-11-1998 12:00:00;0.0;0.0
180005;03-11-1998 12:00:00;0.0;0.0
180005;04-11-1998 12:00:00;0.0;0.0
180005;05-11-1998 12:00:00;0.0;0.0
180005;06-11-1998 12:00:00;0.0;0.0
180005;07-11-1998 12:00:00;0.0;0.0
180005;08-11-1998 12:00:00;0.0;0.0
180005;09-11-1998 12:00:00;0.0;0.0
180005;10-11-1998 12:00:00;0.0;0.0
180005;11-11-1998 12:00:00;0.0;0.0
180005;12-11-1998 12:00:00;0.0;0.0
180005;13-11-1998 12:00:00;0.0;0.0
180005;14-11-1998 12:00:00;0.0;0.0
180005;15-11-1998 12:00:00;0.0;0.0
180005;16-11-1998 12:00:00;0.0;0.0
180005;17-11-1998 12:00:00;0.0;0.0
180005;18-11-1998 12:00:00;0.0;0.0
180005;19-11-1998 12:00:00;0.0;0.0
180005;20-11-1998 12:00:00;0.0;0.0
180005;21-11-1998 12:00:00;0.0;0.0
180005;22-11-1998 12:00:00;0.0;0.0
180005;23-11-1998 12:00:00;0.0;0.0
180005;24-11-1998 12:00:00;0.0;0.0
180005;25-11-1998 12:00:00;0.0;0.0
180005;26-11-1998 12:00:00;0.0;0.0
180005;27-11-1998 12:00:00;0.0;0.0
180005;28-11-1998 12:00:00;0.0;0.0
180005;29-11-1998 12:00:00;0.0;0.0
180005;30-11-1998 12:00:00;0.0;0.0
180005;01-12-1998 12:00:00;0.0;0.0
180005;02-12-1998 12:00:00;0.0;0.0
180005;03-12-1998 12:00:00;0.0;0.0
180005;04-12-1998 12:00:00;0.0;0.0
180005;05-12-1998 12:00:00;0.0;0.0
180005;06-12-1998 12:00:00;0.0;0.0
180005;07-12-1998 12:00:00;0.0;0.0
180005;08-12-1998 12:00:00;0.0;0.0
180005;09-12-1998 12:00:00;0.0;0.0
180005;10-12-1998 12:00:00;0.0;0.0
180005;11-12-1998 12:00:00;0.0;0.0
180005;12-12-1998 12:00:00;0.0;0.0
180005;13-12-1998 12:00:00;0.0;0.0
180005;14-12-1998 12:00:00;0.0;0.0
180005;15-12-1998 12:00:00;0.0;0.0
180005;16-12-1998 12:00:00;0.0;0.0
180005;17-12-1998 12:00:00;0.0;0.0
180005;18-12-1998 12:00:00;0.0;0.0
180005;19-12-1998 12:00:00;0.0;0.0
180005;20-12-1998 12:00:00;0.0;0.0
180005;21-12-1998 12:00:00;0.0;0.0
180005;22-12-1998 12:00:00;0.0;0.0
180005;23-12-1998 12:00:00;0.0;0.0
180005;24-12-1998 12:00:00;0.0;0.0
180005;25-12-1998 12:00:00;0.0;0.0
180005;26-12-1998 12:00:00;0.0;0.0
180005;27-12-1998 12:00:00;0.0;0.0
180005;28-12-1998 12:00:00;0.0;0.0
180005;29-12-1998 12:00:00;0.0;0.0
180005;30-12-1998 12:00:00;0.0;0.0
180005;31-12-1998 12:00:00;0.0;0.0
180005;03-01-1999 12:00:00;0.0;0.0
180005;10-01-1999 12:00:00;0.0;0.0
180005;11-01-1999 12:00:00;0.0;0.0
180005;13-01-1999 12:00:00;0.0;0.0
180005;14-01-1999 12:00:00;0.0;0.0
180005;15-01-1999 12:00:00;0.0;0.0
180005;17-01-1999 12:00:00;0.0;0.0
180005;18-01-1999 12:00:00;0.0;0.0
180005;19-01-1999 12:00:00;0.0;0.0
180005;20-01-1999 12:00:00;0.0;0.0
180005;22-01-1999 12:00:00;0.0;0.0
180005;23-01-1999 12:00:00;0.0;0.0
180005;24-01-1999 12:00:00;0.0;0.0
180005;25-01-1999 12:00:00;0.0;0.0
180005;27-01-1999 12:00:00;0.0;0.0
180005;31-01-1999 12:00:00;0.0;0.0
180005;01-02-1999 12:00:00;0.0;0.0
180005;02-02-1999 12:00:00;0.0;0.0
180005;03-02-1999 12:00:00;0.0;0.0
180005;04-02-1999 12:00:00;0.0;0.0
180005;05-02-1999 12:00:00;0.0;0.0
180005;06-02-1999 12:00:00;0.0;0.0
180005;07-02-1999 12:00:00;0.0;0.0
180005;08-02-1999 12:00:00;0.0;0.0
180005;09-02-1999 12:00:00;0.0;0.0
180005;10-02-1999 12:00:00;0.0;0.0
180005;11-02-1999 12:00:00;0.0;0.0
180005;12-02-1999 12:00:00;0.0;0.0
180005;13-02-1999 12:00:00;0.0;0.0
180005;14-02-1999 12:00:00;0.0;0.0
180005;15-02-1999 12:00:00;0.0;0.0
180005;16-02-1999 12:00:00;0.0;0.0
180005;17-02-1999 12:00:00;0.0;0.0
180005;18-02-1999 12:00:00;0.0;0.0
180005;19-02-1999 12:00:00;0.0;0.0
180005;20-02-1999 12:00:00;0.0;0.0
180005;21-02-1999 12:00:00;0.0;0.0
180005;22-02-1999 12:00:00;0.0;0.0
180005;23-02-1999 12:00:00;0.0;0.0
180005;24-02-1999 12:00:00;0.0;0.0
180005;25-02-1999 12:00:00;0.0;0.0
180005;26-02-1999 12:00:00;0.0;0.0
180005;27-02-1999 12:00:00;0.0;0.0
180005;28-02-1999 12:00:00;0.0;0.0
180005;01-03-1999 12:00:00;0.0;0.0
180005;02-03-1999 12:00:00;0.0;0.0
180005;03-03-1999 12:00:00;0.0;0.0
180005;04-03-1999 12:00:00;0.0;0.0
180005;05-03-1999 12:00:00;0.0;0.0
180005;06-03-1999 12:00:00;0.0;0.0
180005;07-03-1999 12:00:00;0.0;0.0
180005;08-03-1999 12:00:00;0.0;0.0
180005;09-03-1999 12:00:00;0.0;0.0
180005;10-03-1999 12:00:00;0.0;0.0
180005;11-03-1999 12:00:00;0.0;0.0
180005;12-03-1999 12:00:00;0.0;0.0
180005;13-03-1999 12:00:00;0.0;0.0
180005;14-03-1999 12:00:00;0.0;0.0
180005;15-03-1999 12:00:00;0.0;0.0
180005;16-03-1999 12:00:00;0.0;0.0
180005;17-03-1999 12:00:00;0.0;0.0
180005;18-03-1999 12:00:00;0.0;0.0
180005;19-03-1999 12:00:00;0.0;0.0
180005;20-03-1999 12:00:00;0.0;0.0
180005;21-03-1999 12:00:00;0.0;0.0
180005;22-03-1999 12:00:00;0.0;0.0
180005;23-03-1999 12:00:00;0.0;0.0
180005;24-03-1999 12:00:00;0.0;0.0
180005;25-03-1999 12:00:00;0.0;0.0
180005;26-03-1999 12:00:00;0.0;0.0
180005;27-03-1999 12:00:00;0.0;0.0
180005;28-03-1999 12:00:00;0.0;0.0
180005;29-03-1999 12:00:00;0.0;0.0
180005;30-03-1999 12:00:00;0.0;0.0
180005;31-03-1999 12:00:00;0.0;0.0
180005;01-04-1999 12:00:00;0.0;0.0
180005;02-04-1999 12:00:00;0.0;0.0
180005;04-04-1999 12:00:00;0.0;0.0
180005;05-04-1999 12:00:00;0.0;0.0
180005;06-04-1999 12:00:00;0.0;0.0
180005;07-04-1999 12:00:00;0.0;0.0
180005;08-04-1999 12:00:00;0.0;0.0
180005;09-04-1999 12:00:00;0.0;0.0
180005;10-04-1999 12:00:00;0.0;0.0
180005;11-04-1999 12:00:00;0.0;0.0
180005;12-04-1999 12:00:00;0.0;0.0
180005;13-04-1999 12:00:00;0.0;0.0
180005;14-04-1999 12:00:00;0.0;0.0
180005;15-04-1999 12:00:00;0.0;0.0
180005;16-04-1999 12:00:00;0.0;0.0
180005;17-04-1999 12:00:00;0.0;0.0
180005;18-04-1999 12:00:00;0.0;0.0
180005;20-04-1999 12:00:00;0.0;0.0
180005;21-04-1999 12:00:00;0.0;0.0
180005;22-04-1999 12:00:00;0.0;0.0
180005;23-04-1999 12:00:00;0.0;0.0
180005;24-04-1999 12:00:00;0.0;0.0
180005;25-04-1999 12:00:00;0.0;0.0
180005;26-04-1999 12:00:00;0.0;0.0
180005;27-04-1999 12:00:00;0.0;0.0
180005;28-04-1999 12:00:00;0.0;0.0
180005;29-04-1999 12:00:00;0.0;0.0
180005;30-04-1999 12:00:00;0.0;0.0
180005;01-05-1999 12:00:00;0.0;0.0
180005;03-05-1999 12:00:00;0.0;0.0
180005;04-05-1999 12:00:00;0.0;0.0
180005;05-05-1999 12:00:00;0.0;0.0
180005;06-05-1999 12:00:00;0.0;0.0
180005;07-05-1999 12:00:00;0.0;0.0
180005;08-05-1999 12:00:00;0.0;0.0
180005;09-05-1999 12:00:00;0.0;0.0
180005;10-05-1999 12:00:00;0.0;0.0
180005;13-05-1999 12:00:00;0.0;0.0
180005;15-05-1999 12:00:00;0.0;0.0
180005;16-05-1999 12:00:00;0.0;0.0
180005;17-05-1999 12:00:00;0.0;0.0
180005;18-05-1999 12:00:00;0.0;0.0
180005;21-05-1999 12:00:00;0.0;0.0
180005;24-05-1999 12:00:00;0.0;0.0
180005;25-05-1999 12:00:00;0.0;0.0
180005;27-05-1999 12:00:00;0.0;0.0
180005;29-05-1999 12:00:00;0.0;0.0
180005;30-05-1999 12:00:00;0.0;0.0
180005;31-05-1999 12:00:00;0.0;0.0
180005;01-06-1999 12:00:00;0.0;0.0
180005;02-06-1999 12:00:00;0.0;0.0
180005;03-06-1999 12:00:00;0.0;0.0
180005;04-06-1999 12:00:00;0.0;0.0
180005;05-06-1999 12:00:00;0.0;0.0
180005;06-06-1999 12:00:00;0.0;0.0
180005;07-06-1999 12:00:00;0.0;0.0
180005;08-06-1999 12:00:00;0.0;0.0
180005;09-06-1999 12:00:00;0.0;0.0
180005;10-06-1999 12:00:00;0.0;0.0
180005;11-06-1999 12:00:00;0.0;0.0
180005;12-06-1999 12:00:00;0.0;0.0
180005;13-06-1999 12:00:00;0.0;0.0
180005;14-06-1999 12:00:00;0.0;0.0
180005;15-06-1999 12:00:00;0.0;0.0
180005;16-06-1999 12:00:00;0.0;0.0
180005;17-06-1999 12:00:00;0.0;0.0
180005;18-06-1999 12:00:00;0.0;0.0
180005;19-06-1999 12:00:00;0.0;0.0
180005;20-06-1999 12:00:00;0.0;0.0
180005;21-06-1999 12:00:00;0.0;0.0
180005;22-06-1999 12:00:00;0.0;0.0
180005;23-06-1999 12:00:00;0.0;0.0
180005;24-06-1999 12:00:00;0.0;0.0
180005;25-06-1999 12:00:00;0.0;0.0
180005;26-06-1999 12:00:00;0.0;0.0
180005;27-06-1999 12:00:00;0.0;0.0
180005;28-06-1999 12:00:00;0.0;0.0
180005;29-06-1999 12:00:00;0.0;0.0
180005;30-06-1999 12:00:00;0.0;0.0
180005;01-07-1999 12:00:00;0.0;0.0
180005;02-07-1999 12:00:00;0.0;0.0
180005;03-07-1999 12:00:00;0.0;0.0
180005;04-07-1999 12:00:00;0.0;0.0
180005;05-07-1999 12:00:00;0.0;0.0
180005;06-07-1999 12:00:00;0.0;0.0
180005;07-07-1999 12:00:00;0.0;0.0
180005;08-07-1999 12:00:00;0.0;0.0
180005;09-07-1999 12:00:00;0.0;0.0
180005;10-07-1999 12:00:00;0.0;0.0
180005;11-07-1999 12:00:00;0.0;0.0
180005;12-07-1999 12:00:00;0.0;0.0
180005;13-07-1999 12:00:00;0.0;0.0
180005;14-07-1999 12:00:00;0.0;0.0
180005;15-07-1999 12:00:00;0.0;0.0
180005;16-07-1999 12:00:00;0.0;0.0
180005;17-07-1999 12:00:00;0.0;0.0
180005;18-07-1999 12:00:00;0.0;0.0
180005;19-07-1999 12:00:00;0.0;0.0
180005;20-07-1999 12:00:00;0.0;0.0
180005;21-07-1999 12:00:00;0.0;0.0
180005;22-07-1999 12:00:00;0.0;0.0
180005;23-07-1999 12:00:00;0.0;0.0
180005;24-07-1999 12:00:00;0.0;0.0
180005;25-07-1999 12:00:00;0.0;0.0
180005;26-07-1999 12:00:00;0.0;0.0
180005;27-07-1999 12:00:00;0.0;0.0
180005;28-07-1999 12:00:00;0.0;0.0
180005;29-07-1999 12:00:00;0.0;0.0
180005;30-07-1999 12:00:00;0.0;0.0
180005;31-07-1999 12:00:00;0.0;0.0
180005;01-08-1999 12:00:00;0.0;0.0
180005;02-08-1999 12:00:00;0.0;0.0
180005;03-08-1999 12:00:00;0.0;0.0
180005;04-08-1999 12:00:00;0.0;0.0
180005;05-08-1999 12:00:00;0.0;0.0
180005;06-08-1999 12:00:00;0.0;0.0
180005;07-08-1999 12:00:00;0.0;0.0
180005;08-08-1999 12:00:00;0.0;0.0
180005;09-08-1999 12:00:00;0.0;0.0
180005;10-08-1999 12:00:00;0.0;0.0
180005;11-08-1999 12:00:00;0.0;0.0
180005;12-08-1999 12:00:00;0.0;0.0
180005;13-08-1999 12:00:00;0.0;0.0
180005;14-08-1999 12:00:00;0.0;0.0
180005;15-08-1999 12:00:00;0.0;0.0
180005;16-08-1999 12:00:00;0.0;0.0
180005;17-08-1999 12:00:00;0.0;0.0
180005;18-08-1999 12:00:00;0.0;0.0
180005;19-08-1999 12:00:00;0.0;0.0
180005;20-08-1999 12:00:00;0.0;0.0
180005;21-08-1999 12:00:00;0.0;0.0
180005;22-08-1999 12:00:00;0.0;0.0
180005;23-08-1999 12:00:00;0.0;0.0
180005;24-08-1999 12:00:00;0.0;0.0
180005;25-08-1999 12:00:00;0.0;0.0
180005;26-08-1999 12:00:00;0.0;0.0
180005;27-08-1999 12:00:00;0.0;0.0
180005;28-08-1999 12:00:00;0.0;0.0
180005;29-08-1999 12:00:00;0.0;0.0
180005;30-08-1999 12:00:00;0.0;0.0
180005;31-08-1999 12:00:00;0.0;0.0
180005;01-09-1999 12:00:00;0.0;0.0
180005;02-09-1999 12:00:00;0.0;0.0
180005;03-09-1999 12:00:00;0.0;0.0
180005;04-09-1999 12:00:00;0.0;0.0
180005;05-09-1999 12:00:00;0.0;0.0
180005;06-09-1999 12:00:00;0.0;0.0
180005;07-09-1999 12:00:00;0.0;0.0
180005;08-09-1999 12:00:00;0.0;0.0
180005;09-09-1999 12:00:00;0.0;0.0
180005;10-09-1999 12:00:00;0.0;0.0
180005;11-09-1999 12:00:00;0.0;0.0
180005;12-09-1999 12:00:00;0.0;0.0
180005;13-09-1999 12:00:00;0.0;0.0
180005;14-09-1999 12:00:00;0.0;0.0
180005;15-09-1999 12:00:00;0.0;0.0
180005;16-09-1999 12:00:00;0.0;0.0
180005;17-09-1999 12:00:00;0.0;0.0
180005;18-09-1999 12:00:00;0.0;0.0
180005;19-09-1999 12:00:00;0.0;0.0
180005;20-09-1999 12:00:00;0.0;0.0
180005;21-09-1999 12:00:00;0.0;0.0
180005;22-09-1999 12:00:00;0.0;0.0
180005;23-09-1999 12:00:00;0.0;0.0
180005;24-09-1999 12:00:00;0.0;0.0
180005;25-09-1999 12:00:00;0.0;0.0
180005;26-09-1999 12:00:00;0.0;0.0
180005;27-09-1999 12:00:00;0.0;0.0
180005;28-09-1999 12:00:00;0.0;0.0
180005;29-09-1999 12:00:00;0.0;0.0
180005;30-09-1999 12:00:00;0.0;0.0
180005;01-10-1999 12:00:00;0.0;0.0
180005;02-10-1999 12:00:00;0.0;0.0
180005;03-10-1999 12:00:00;0.0;0.0
180005;04-10-1999 12:00:00;0.0;0.0
180005;05-10-1999 12:00:00;0.0;0.0
180005;06-10-1999 12:00:00;0.0;0.0
180005;07-10-1999 12:00:00;0.0;0.0
180005;08-10-1999 12:00:00;0.0;0.0
180005;09-10-1999 12:00:00;0.0;0.0
180005;10-10-1999 12:00:00;0.0;0.0
180005;12-10-1999 12:00:00;0.0;0.0
180005;13-10-1999 12:00:00;0.0;0.0
180005;14-10-1999 12:00:00;0.0;0.0
180005;15-10-1999 12:00:00;0.0;0.0
180005;16-10-1999 12:00:00;0.0;0.0
180005;17-10-1999 12:00:00;0.0;0.0
180005;18-10-1999 12:00:00;0.0;0.0
180005;20-10-1999 12:00:00;0.0;0.0
180005;21-10-1999 12:00:00;0.0;0.0
180005;25-10-1999 12:00:00;0.0;0.0
180005;26-10-1999 12:00:00;0.0;0.0
180005;27-10-1999 12:00:00;0.0;0.0
180005;28-10-1999 12:00:00;0.0;0.0
180005;31-10-1999 12:00:00;0.0;0.0
180005;01-11-1999 12:00:00;0.0;0.0
180005;02-11-1999 12:00:00;0.0;0.0
180005;03-11-1999 12:00:00;0.0;0.0
180005;04-11-1999 12:00:00;0.0;0.0
180005;05-11-1999 12:00:00;0.0;0.0
180005;06-11-1999 12:00:00;0.0;0.0
180005;07-11-1999 12:00:00;0.0;0.0
180005;08-11-1999 12:00:00;0.0;0.0
180005;09-11-1999 12:00:00;0.0;0.0
180005;10-11-1999 12:00:00;0.0;0.0
180005;11-11-1999 12:00:00;0.0;0.0
180005;12-11-1999 12:00:00;0.0;0.0
180005;13-11-1999 12:00:00;0.0;0.0
180005;14-11-1999 12:00:00;0.0;0.0
180005;15-11-1999 12:00:00;0.0;0.0
180005;16-11-1999 12:00:00;0.0;0.0
180005;17-11-1999 12:00:00;0.0;0.0
180005;18-11-1999 12:00:00;0.0;0.0
180005;19-11-1999 12:00:00;0.0;0.0
180005;20-11-1999 12:00:00;0.0;0.0
180005;21-11-1999 12:00:00;0.0;0.0
180005;22-11-1999 12:00:00;0.0;0.0
180005;23-11-1999 12:00:00;0.0;0.0
180005;24-11-1999 12:00:00;0.0;0.0
180005;25-11-1999 12:00:00;0.0;0.0
180005;26-11-1999 12:00:00;0.0;0.0
180005;27-11-1999 12:00:00;0.0;0.0
180005;28-11-1999 12:00:00;0.0;0.0
180005;29-11-1999 12:00:00;0.0;0.0
180005;30-11-1999 12:00:00;0.0;0.0
180005;02-12-1999 12:00:00;0.0;0.0
180005;03-12-1999 12:00:00;0.0;0.0
180005;04-12-1999 12:00:00;0.0;0.0
180005;05-12-1999 12:00:00;0.0;0.0
180005;06-12-1999 12:00:00;0.0;0.0
180005;07-12-1999 12:00:00;0.0;0.0
180005;08-12-1999 12:00:00;0.0;0.0
180005;09-12-1999 12:00:00;0.0;0.0
180005;10-12-1999 12:00:00;0.0;0.0
180005;11-12-1999 12:00:00;0.0;0.0
180005;12-12-1999 12:00:00;0.0;0.0
180005;13-12-1999 12:00:00;0.0;0.0
180005;14-12-1999 12:00:00;0.0;0.0
180005;15-12-1999 12:00:00;0.0;0.0
180005;16-12-1999 12:00:00;0.0;0.0
180005;17-12-1999 12:00:00;0.0;0.0
180005;18-12-1999 12:00:00;0.0;0.0
180005;19-12-1999 12:00:00;0.0;0.0
180005;20-12-1999 12:00:00;0.0;0.0
180005;21-12-1999 12:00:00;0.0;0.0
180005;22-12-1999 12:00:00;0.0;0.0
180005;23-12-1999 12:00:00;0.0;0.0
180005;24-12-1999 12:00:00;0.0;0.0
180005;25-12-1999 12:00:00;0.0;0.0
180005;26-12-1999 12:00:00;0.0;0.0
180005;27-12-1999 12:00:00;0.0;0.0
180005;28-12-1999 12:00:00;0.0;0.0
180005;29-12-1999 12:00:00;0.0;0.0
180005;30-12-1999 12:00:00;0.0;0.0
180005;31-12-1999 12:00:00;0.0;0.0
180005;02-01-2000 12:00:00;0.0;0.0
180005;03-01-2000 12:00:00;0.0;0.0
180005;04-01-2000 12:00:00;0.0;0.0
180005;05-01-2000 12:00:00;0.0;0.0
180005;06-01-2000 12:00:00;0.0;0.0
180005;07-01-2000 12:00:00;0.0;0.0
180005;08-01-2000 12:00:00;0.0;0.0
180005;09-01-2000 12:00:00;0.0;0.0
180005;10-01-2000 12:00:00;0.0;0.0
180005;11-01-2000 12:00:00;0.0;0.0
180005;12-01-2000 12:00:00;0.0;0.0
180005;13-01-2000 12:00:00;0.0;0.0
180005;14-01-2000 12:00:00;0.0;0.0
180005;15-01-2000 12:00:00;0.0;0.0
180005;16-01-2000 12:00:00;0.0;0.0
180005;17-01-2000 12:00:00;0.0;0.0
180005;18-01-2000 12:00:00;0.0;0.0
180005;19-01-2000 12:00:00;0.0;0.0
180005;20-01-2000 12:00:00;0.0;0.0
180005;21-01-2000 12:00:00;1.6;0.0
180005;22-01-2000 12:00:00;0.0;0.0
180005;23-01-2000 12:00:00;0.0;0.0
180005;24-01-2000 12:00:00;0.0;0.0
180005;25-01-2000 12:00:00;0.0;0.0
180005;26-01-2000 12:00:00;0.0;0.0
180005;27-01-2000 12:00:00;0.0;1.0
180005;28-01-2000 12:00:00;0.0;0.0
180005;29-01-2000 12:00:00;0.0;0.0
180005;30-01-2000 12:00:00;0.0;0.0
180005;31-01-2000 12:00:00;0.0;0.0
180005;01-02-2000 12:00:00;0.0;0.0
180005;02-02-2000 12:00:00;0.0;0.0
180005;03-02-2000 12:00:00;0.0;0.0
180005;04-02-2000 12:00:00;0.0;0.0
180005;05-02-2000 12:00:00;0.0;0.0
180005;06-02-2000 12:00:00;0.0;0.0
180005;07-02-2000 12:00:00;0.0;0.0
180005;08-02-2000 12:00:00;0.0;0.0
180005;09-02-2000 12:00:00;0.0;0.0
180005;10-02-2000 12:00:00;0.0;0.0
180005;11-02-2000 12:00:00;0.0;0.0
180005;12-02-2000 12:00:00;0.0;0.0
180005;13-02-2000 12:00:00;0.0;0.0
180005;14-02-2000 12:00:00;0.0;0.0
180005;15-02-2000 12:00:00;0.0;0.0
180005;16-02-2000 12:00:00;0.0;0.0
180005;17-02-2000 12:00:00;0.0;0.0
180005;18-02-2000 12:00:00;0.0;0.0
180005;19-02-2000 12:00:00;0.0;0.0
180005;20-02-2000 12:00:00;0.0;0.0
180005;21-02-2000 12:00:00;0.0;0.0
180005;22-02-2000 12:00:00;0.0;0.0
180005;23-02-2000 12:00:00;0.0;0.0
180005;24-02-2000 12:00:00;0.0;0.0
180005;25-02-2000 12:00:00;0.0;0.0
180005;26-02-2000 12:00:00;0.0;0.0
180005;27-02-2000 12:00:00;0.0;0.0
180005;28-02-2000 12:00:00;0.0;0.0
180005;29-02-2000 12:00:00;0.0;0.0
180005;01-03-2000 12:00:00;0.0;0.0
180005;02-03-2000 12:00:00;0.0;0.0
180005;03-03-2000 12:00:00;0.0;0.0
180005;04-03-2000 12:00:00;0.0;0.0
180005;05-03-2000 12:00:00;0.0;0.0
180005;06-03-2000 12:00:00;0.0;0.0
180005;07-03-2000 12:00:00;0.0;0.0
180005;08-03-2000 12:00:00;1.2;0.0
180005;09-03-2000 12:00:00;0.0;0.0
180005;10-03-2000 12:00:00;0.0;0.0
180005;11-03-2000 12:00:00;0.0;0.0
180005;12-03-2000 12:00:00;0.0;0.0
180005;13-03-2000 12:00:00;0.0;0.0
180005;14-03-2000 12:00:00;0.0;0.0
180005;15-03-2000 12:00:00;0.0;0.0
